id,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q11,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q18,Q20,Q21,device_type,מקור,ISAIncome
259,אישה,18,ערבי - מוסלמי,הדרום,,,1,לא יודע/ת,לא יודע/ת,,,,,,,,,,,,לא יודע ת,,,,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,,,,,,,,אף אחד מהם,על תיכונית,לא יודע/ת,הרבה מתחת לממוצע,"mobile, iOS",0,עד 3000
319,גבר,18,יהודי,,(04) צפון,חילוני/ת,1,לא יודע/ת,לא יודע/ת,,,,יס - Yes,,,,,,,,,,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,YouTube Music   YouTube Premium,,,,,,על תיכונית,לא יודע/ת,מסרב/ת להשיב,desktop,0,לא יודע|ת
403,גבר,18,יהודי,,(03) מרכז,חילוני/ת,1,לא יודע/ת,לא יודע/ת,,,,,,,,,,,,לא יודע ת,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,עד 3000,,"mobile, Android",0,עד 3000
568,אישה,18,יהודי,,(03) מרכז,חילוני/ת,1,סיב אופטי,סלקום,,,,,,,,,,,אחר,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,עד 3000,,"mobile, iOS",0,עד 3000
641,אישה,18,יהודי,,(03) מרכז,מסורתי/ת,1,קו טלפון (ADSL),הוט נט,,,,,,,,,FreeTV,,,,,נטפליקס – Netflix,דיסני פלוס,,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,תיכונית / ישיבה קטנה,4001-5000,,"mobile, Android",0,4001-5000
674,גבר,18,יהודי,,(03) מרכז,דתי/ה,1,סיב אופטי,פרטנר,,,,,,,פרטנר TV,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,,,,,,אף אחד מהם,תיכונית / ישיבה קטנה,14001-16000,,"mobile, Android",0,14001-16000
708,גבר,18,יהודי,,(08) דרום,חילוני/ת,1,סיב אופטי,סלקום,,,,יס - Yes,,,,,,,,,,נטפליקס – Netflix,דיסני פלוס,יוטיוב - YouTube - מנוי בתשלום,אפל TV - AppleTV,אמאזון פריים - Amazon Prime,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,מסרב/ת להשיב,לא יודע/ת,מסרב/ת להשיב,"mobile, iOS",0,לא יודע|ת
730,אישה,18,יהודי,,(03) מרכז,מסורתי/ת,1,לא יודע/ת,סלקום,,,,,,סלקום TV,,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,13001-14000,,"mobile, Android",0,13001-14000
1007,גבר,18,יהודי,,(09) שרון,דתי/ה,1,כבלים של הוט,הוט נט,,הוט -Hot ,Hot-NextTV,,,,,,,,,,,,,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,ספוטיפיי – Spotify,,,,,,,,על תיכונית,3001-4000,,"mobile, Android",0,3001-4000
1086,אישה,18,יהודי,,(04) צפון,חילוני/ת,1,כבלים של הוט,הוט נט,,הוט -Hot ,,,,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,לא יודע/ת,דומה לממוצע,"mobile, Android",0,12001-13000
