ת״ז,מגדר,גיל,לאום,הגדרה דתית,סוג חיבור האינטרנט,ספק האינטרנט,השכלה,הכנסה למשק בית,הכנסה מעל או מתחת לממוצע,סוג מכשיר,מקור,הכנסה,איזור מגורים,ספק טלויזיה ישראלי,צריכת שירותי מוזיקה,הכנסה_מספרית,ספק טלוויזיה בינלאומי,קבוצת_גיל,נטפליקס
259,אישה,18,ערבי - מוסלמי,חרדי/ת,לא יודע/ת,לא יודע/ת,על תיכונית,לא יודע/ת,הרבה מתחת לממוצע,"mobile, iOS",0,עד 3000,הדרום,לא יודע ת,אף אחד מהם,1500,יוטיוב - YouTube - מנוי בתשלום,18-25,FALSE
319,גבר,18,יהודי,חילוני/ת,לא יודע/ת,לא יודע/ת,על תיכונית,לא יודע/ת,מסרב/ת להשיב,desktop,0,לא יודע|ת,(04) צפון,יס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
403,גבר,18,יהודי,חילוני/ת,לא יודע/ת,לא יודע/ת,תיכונית / ישיבה קטנה,עד 3000,מעט מתחת לערך הממוצע,"mobile, Android",0,עד 3000,(03) מרכז,לא יודע ת,ספוטיפיי – Spotify,1500,נטפליקס – Netflix,18-25,TRUE
568,אישה,18,יהודי,חילוני/ת,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,עד 3000,מעט מתחת לערך הממוצע,"mobile, iOS",0,עד 3000,(03) מרכז,אחר,ספוטיפיי – Spotify,1500,נטפליקס – Netflix,18-25,TRUE
641,אישה,18,יהודי,מסורתי/ת,קו טלפון (ADSL),הוט נט,תיכונית / ישיבה קטנה,4001-5000,מעט מתחת לערך הממוצע,"mobile, Android",0,4001-5000,(03) מרכז,FreeTV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,4500,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
674,גבר,18,יהודי,דתי/ה,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(03) מרכז,פרטנר TV,אף אחד מהם,15000,נטפליקס – Netflix,18-25,TRUE
708,גבר,18,יהודי,חילוני/ת,סיב אופטי,סלקום,מסרב/ת להשיב,לא יודע/ת,מסרב/ת להשיב,"mobile, iOS",0,לא יודע|ת,(08) דרום,יס - Yes,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
730,אישה,18,יהודי,מסורתי/ת,לא יודע/ת,סלקום,תיכונית / ישיבה קטנה,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(03) מרכז,סלקום TV,YouTube Music   YouTube Premium,13500,נטפליקס – Netflix,18-25,TRUE
1007,גבר,18,יהודי,דתי/ה,כבלים של הוט,הוט נט,על תיכונית,3001-4000,מעט מתחת לערך הממוצע,"mobile, Android",0,3001-4000,(09) שרון,הוט -Hot; Hot-NextTV,ספוטיפיי – Spotify,3500,יוטיוב - YouTube - מנוי בתשלום,18-25,FALSE
1086,אישה,18,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,לא יודע/ת,דומה לממוצע,"mobile, Android",0,12001-13000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,12500,נטפליקס – Netflix,18-25,TRUE
1115,גבר,18,יהודי,דתי/ה,אחר,אינטרנט רימון/אתרוג,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,desktop,0,לא יודע|ת,(04) צפון,אף אחד מהם,ספוטיפיי – Spotify; אחר,,נטפליקס – Netflix,18-25,TRUE
1167,גבר,18,יהודי,דתי/ה,קו טלפון (ADSL),בזק בינלאומי,על תיכונית,עד 3000,מעט מתחת לערך הממוצע,"mobile, Android",0,עד 3000,(03) מרכז,אף אחד מהם,אחר,1500,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
1175,גבר,18,יהודי,דתי/ה,סיב אופטי,פרטנר,על תיכונית,לא יודע/ת,קצת מתחת לממוצע,"mobile, Android",0,9001-10000,(02) ירושלים,פרטנר TV,YouTube Music   YouTube Premium,9500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,18-25,TRUE
142,אישה,19,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,16001-18000,מעט מעל הערך הממוצע,"mobile, iOS",0,16001-18000,(02) ירושלים,הוט -Hot,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,17000,נטפליקס – Netflix,18-25,TRUE
143,גבר,19,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,18001-22000,מעט מעל הערך הממוצע,"mobile, iOS",0,18001-22000,(03) מרכז,הוט -Hot,אפל מיוזיק - Apple music,20000,נטפליקס – Netflix,18-25,TRUE
295,גבר,19,יהודי,מסורתי/ת,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(03) מרכז,פרטנר TV,ספוטיפיי – Spotify,15000,נטפליקס – Netflix,18-25,TRUE
414,אישה,19,יהודי,מסורתי/ת,כבלים של הוט,פרטנר,תיכונית / ישיבה קטנה,עד 3000,מעט מתחת לערך הממוצע,"mobile, Android",0,עד 3000,(04) צפון,הוט -Hot; Hot-NextTV; פרטנר TV; FreeTV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,1500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,18-25,TRUE
547,אישה,19,יהודי,חרדי/ת,לא יודע/ת,לא יודע/ת,תיכונית / ישיבה קטנה,מסרב/ת להשיב,קצת מעל הממוצע,desktop,0,18001-22000,(09) שרון,אף אחד מהם,אחר,20000,נטפליקס – Netflix; דיסני פלוס; BIGI,18-25,TRUE
814,גבר,19,יהודי,חרדי/ת,לא יודע/ת,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,עד 3000,מעט מתחת לערך הממוצע,"mobile, iOS",0,עד 3000,(08) דרום,אף אחד מהם,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,1500,לא יודע ת,18-25,FALSE
856,אישה,19,יהודי,מסורתי/ת,לא יודע/ת,לא יודע/ת,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, iOS",0,לא יודע|ת,(08) דרום,אף אחד מהם,ספוטיפיי – Spotify,,נטפליקס – Netflix,18-25,TRUE
